response_id,submission_date,age,gender,department,region,tenure_months,engagement_score,nps_score,satisfaction_rating,effort_score,open_feedback
RESP-10000,2026-09-07 16:02:07.906048,36.0,Male,Sales,EMEA,31,4.8,3,2.0,7,Billing is a nightmare. I was overcharged twice and customer support was completely unresponsive. More details at https://internal-feedback-100.org/details.
RESP-10001,2026-08-23 08:13:07.906048,44.0,Female,Product,APAC,23,6.9,6,3.0,3,The UI update makes navigation horrible. Features crash constantly on Chrome.
RESP-10002,2026-08-21 19:34:07.906048,31.0,Male,Marketing,North America,5,7.0,7,4.0,4,"The application works fine, but performance slows down occasionally during peak hours."
RESP-10003,2026-06-26 01:00:07.906048,,Male,Customer Support,EMEA,12,5.2,8,4.0,3,The interface is standard. A few bugs here and there.
RESP-10004,2026-06-30 19:42:07.906048,21.0,Female,Engineering,EMEA,16,8.0,8,4.0,2,"The application works fine, but performance slows down occasionally during peak hours. You can reach my direct desk at +1-555-01104 to discuss."
RESP-10005,2026-09-02 01:43:07.906048,47.0,Non-Binary,Engineering,APAC,14,8.7,10,5.0,2,Customer support was very responsive and resolved my billing issue in 10 minutes.
RESP-10006,2026-07-11 21:45:07.906048,42.0,Male,Engineering,LATAM,5,8.1,8,2.0,6,"The application works fine, but performance slows down occasionally during peak hours."
RESP-10007,2026-07-22 22:36:07.906048,18.0,Female,Product,North America,62,6.3,6,4.0,3,Constant downtime and sync errors. Frustrating and unhelpful.
RESP-10008,2026-07-04 00:25:07.906048,63.0,Male,Customer Support,EMEA,35,4.6,7,3.0,4,"Support is fine, but response times could be improved."
RESP-10009,2026-07-08 12:06:07.906048,35.0,Female,Marketing,North America,16,4.3,5,3.0,3,Billing is a nightmare. I was overcharged twice and customer support was completely unresponsive.
RESP-10010,2026-08-29 17:29:07.906048,27.0,Male,Engineering,EMEA,28,6.4,5,2.0,4,The UI update makes navigation horrible. Features crash constantly on Chrome.
RESP-10011,2026-07-14 12:12:07.906048,21.0,Male,Product,North America,55,10.0,10,5.0,2,Great UI and clean design. Very satisfied with recent feature releases.
RESP-10012,2026-07-31 08:29:07.906048,33.0,Non-Binary,Marketing,North America,4,5.3,5,4.0,2,The UI update makes navigation horrible. Features crash constantly on Chrome.
RESP-10013,2026-07-04 14:11:07.906048,34.0,Male,Engineering,North America,7,5.9,3,3.0,5,Terrible experience. Pricing increased without notice and the software is laggy.
RESP-10014,2026-08-20 22:54:07.906048,37.0,Female,Engineering,EMEA,19,8.2,10,5.0,2,"Fast performance, excellent reliability, and helpful documentation. More details at https://internal-feedback-114.org/details."
RESP-10015,2026-08-25 11:38:07.906048,33.0,Male,Engineering,North America,39,7.5,9,4.0,3,Our account manager is fantastic. Keep up the great work!
RESP-10016,2026-07-23 11:50:07.906048,42.0,Female,Sales,APAC,1,5.7,8,4.0,4,"The application works fine, but performance slows down occasionally during peak hours."
RESP-10017,2026-08-30 13:38:07.906048,32.0,Male,Customer Support,EMEA,100,7.6,8,5.0,1,The interface is standard. A few bugs here and there.
RESP-10018,2026-07-12 12:46:07.906048,18.0,Male,Sales,North America,15,6.8,6,3.0,4,Customer service takes 4 days to reply. We are considering switching providers. More details at https://internal-feedback-118.org/details.
RESP-10019,2026-08-22 05:05:07.906048,34.0,Female,Sales,APAC,11,5.2,6,4.0,3,Constant downtime and sync errors. Frustrating and unhelpful.
